Name,Architecture,Dropout,Learning Rate,Batch Size,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Val Accuracy
Baseline,"[64, 32]",0.3,0.001,32,0.6949,0.2711,0.8785,0.4143,0.8193,0.7085
"Small (32, 16)","[32, 16]",0.3,0.001,32,0.6934,0.2712,0.8866,0.4154,0.8138,0.6941
"Large (128, 64)","[128, 64]",0.3,0.001,32,0.6951,0.2715,0.8806,0.4151,0.8170,0.7038
"Deep (64, 64, 32)","[64, 64, 32]",0.3,0.001,32,0.6936,0.2711,0.8846,0.4150,0.8209,0.6956
No Dropout,"[64, 32]",0.0,0.001,32,0.6971,0.2726,0.8785,0.4161,0.8191,0.7001
High Dropout (0.5),"[64, 32]",0.5,0.001,32,0.6998,0.2737,0.8725,0.4166,0.8138,0.6988
LR 0.0001,"[64, 32]",0.3,0.0001,32,0.6961,0.2719,0.8785,0.4153,0.8198,0.7115
LR 0.01,"[64, 32]",0.3,0.01,32,0.6899,0.2694,0.8907,0.4137,0.8152,0.7031
Batch 16,"[64, 32]",0.3,0.001,16,0.6861,0.2673,0.8927,0.4114,0.8174,0.7063
Batch 64,"[64, 32]",0.3,0.001,64,0.6939,0.2713,0.8846,0.4152,0.8149,0.7048
